Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,,Result
Te,127.6,206,2.1,9.01,1.971,38,0.002714538,0.002714538,3,3,0.002714538,,2.714538007
Zn,65.4,139,1.65,9.394,0,38.67,0.008795503,0.008795503,20,20,0.008795503,,8.795503194
P,30.973762,180,2.19,10.487,0.746,25,0.004188936,0.004188936,24,16,0.004188936,,4.18893578
Zn,65.4,139,1.65,9.394,0,38.67,0.009078332,0.009078332,5,5,0.009078332,,9.078331954
Zn,65.4,139,1.65,9.394,0,38.67,0.014065389248107395,0.014065389248107395,17,17,0.014065389248107395,,14.06538925
Zn,65.4,139,1.65,9.394,0,38.67,0.015059243616191367,0.015059243616191367,4,4,0.015059243616191367,,15.05924362
Zn,65.4,139,1.65,9.394,0,38.67,0.003640602,0.003640602,3,3,0.003640602,,3.640601971
Zn,65.4,139,1.65,9.394,0,38.67,0.020944338656115023,0.020944338656115023,1,1,0.020944338656115023,,20.94433866
Zn,65.4,139,1.65,9.394,0,38.67,0.010916288,0.010916288,5,5,0.010916288,,10.91628792
Cu,63.55,140,1.9,7.726,1.228,46.5,0.007999568,0.007999568,1,1,0.007999568,,7.999568303
Zn,65.4,139,1.65,9.394,0,38.67,0.013427588768554072,0.013427588768554072,11,11,0.013427588768554072,,13.42758877
Zn,65.4,139,1.65,9.394,0,38.67,0.013560096064867813,0.013560096064867813,3,3,0.013560096064867813,,13.56009606
Zn,65.4,139,1.65,9.394,0,38.67,0.014973279316358393,0.014973279316358393,11,11,0.014973279316358393,,14.97327932
Zn,65.4,139,1.65,9.394,0,38.67,0.011823061977589207,0.011823061977589207,32,32,0.011823061977589207,,11.82306198
Zn,65.4,139,1.65,9.394,0,38.67,0.006720682,0.006720682,3,3,0.006720682,,6.72068152
