Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Sr,87.62,249.0,0.95,5.695,,197.2,0.012538322003244484,0.018807483004866725,4.0,4.0,0.018807483004866725,Imma,74,6,SrZn2
Sr,87.62,249.0,0.95,5.695,,197.2,0.00879550319443304,0.010554603833319649,20.0,20.0,0.010554603833319649,Pnma,62,24,SrZn5
Sr,87.62,249.0,0.95,5.695,,197.2,0.012379362340470351,0.024758724680940702,4.0,4.0,0.024758724680940702,Pnma,62,8,SrZn
Ta,180.9479,217.0,1.5,7.89,0.322,74.0,0.012541760891110502,0.023291841654919505,7.0,7.0,0.023291841654919505,R-3m,166,13,Ta6Zn7
Ta,180.9479,217.0,1.5,7.89,0.322,74.0,0.014046791553316187,0.02107018732997428,16.0,16.0,0.02107018732997428,P6_3/mmc,194,24,TaZn2
Tb,158.92535,221.0,,5.864,,170.0,0.014065389248107395,0.015720140924355325,17.0,17.0,0.015720140924355325,R-3m,166,19,Tb2Zn17
Tb,158.92535,221.0,,5.864,,170.0,0.013958148173946786,0.017764915857750453,11.0,11.0,0.017764915857750453,Immm,71,14,Tb3Zn11
Tb,158.92535,221.0,,5.864,,170.0,0.01314645246491804,0.014241990170327875,12.0,12.0,0.014241990170327875,I4/mmm,139,13,TbZn12
Tb,158.92535,221.0,,5.864,,170.0,0.015424189731029709,0.023136284596544564,4.0,4.0,0.023136284596544564,Imma,74,6,TbZn2
Tb,158.92535,221.0,,5.864,,170.0,0.015750968554067095,0.021001291405422794,12.0,12.0,0.021001291405422794,Pnma,62,16,TbZn3
Tb,158.92535,221.0,,5.864,,170.0,0.020944338656115023,0.04188867731223005,1.0,1.0,0.04188867731223005,Pm-3m,221,2,TbZn
Th,232.038,237.0,1.3,6.08,,240.0,0.012089687657288,0.013512003852263059,17.0,17.0,0.013512003852263059,R-3m,166,19,Th2Zn17
Th,232.038,237.0,1.3,6.08,,240.0,0.014417229357233089,0.04325168807169927,2.0,2.0,0.04325168807169927,I4/mcm,140,6,Th2Zn
Th,232.038,237.0,1.3,6.08,,240.0,0.012640450641450432,0.018960675962175648,2.0,2.0,0.018960675962175648,P6/mmm,191,3,ThZn2
Th,232.038,237.0,1.3,6.08,,240.0,0.0119488031092573,0.014936003886571625,4.0,4.0,0.014936003886571625,I4/mmm,139,5,ThZn4
Ti,47.867,187.0,1.54,6.828,0.079,100.0,0.01989008126640733,0.05967024379922199,1.0,1.0,0.05967024379922199,I4/mmm,139,3,Ti2Zn
Ti,47.867,187.0,1.54,6.828,0.079,100.0,0.011823061977589207,0.012562003351188532,32.0,32.0,0.012562003351188532,Cmcm,63,34,TiZn16
Tm,168.93422,227.0,1.25,6.184,,144.0,0.013803124192601447,0.015427021156436911,17.0,17.0,0.015427021156436911,R-3m,166,19,Tm2Zn17
Tm,168.93422,227.0,1.25,6.184,,144.0,0.0129814431299085,0.014063230057400873,12.0,12.0,0.014063230057400873,I4/mmm,139,13,TmZn12
Tm,168.93422,227.0,1.25,6.184,,144.0,0.0160747211537046,0.024112081730556904,4.0,4.0,0.024112081730556904,Imma,74,6,TmZn2
Tm,168.93422,227.0,1.25,6.184,,144.0,0.01535850330428431,0.020478004405712413,12.0,12.0,0.020478004405712413,Pnma,62,16,TmZn3
Tm,168.93422,227.0,1.25,6.184,,144.0,0.020684894739567927,0.04136978947913585,1.0,1.0,0.04136978947913585,Pm-3m,221,2,TmZn
U,238.0289,240.0,1.38,6.194,,180.0,0.013213921919247466,0.014768500968570698,102.0,102.0,0.014768500968570698,P6_3/mmc,194,114,U2Zn17
V,50.9415,179.0,1.63,6.746,0.525,87.0,0.007009955515155332,0.012617919927279597,5.0,5.0,0.012617919927279597,I4/mmm,139,9,V4Zn5
V,50.9415,179.0,1.63,6.746,0.525,87.0,0.013560096064867813,0.018080128086490416,3.0,3.0,0.018080128086490416,Pm-3m,221,4,VZn3
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.012794291572985133,0.014299502346277502,17.0,17.0,0.014299502346277502,R-3m,166,19,Y2Zn17
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.0138054275466615,0.017570544150296453,11.0,11.0,0.017570544150296453,Immm,71,14,Y3Zn11
Yb,173.05,242.0,,6.254,,139.0,0.010556039401591626,0.01583405910238744,4.0,4.0,0.01583405910238744,Imma,74,6,YbZn2
