-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
   113   12 Mg  -0.86811379E-03     -0.54474963
   114   12 Mg  -0.86811375E-03     -0.54474960
   115   12 Mg  -0.86811376E-03     -0.54474961
   116   12 Mg  -0.86811487E-03     -0.54475031
   117   12 Mg  -0.86668905E-03     -0.54385559
   118   12 Mg  -0.86669211E-03     -0.54385751
   119   12 Mg  -0.86669417E-03     -0.54385881
   120   12 Mg  -0.85597944E-03     -0.53713521
   121   12 Mg  -0.85598038E-03     -0.53713580
   122   12 Mg  -0.85597839E-03     -0.53713455
   123   12 Mg  -0.85725970E-03     -0.53793859
   124   12 Mg  -0.85726179E-03     -0.53793989
   125   12 Mg  -0.85725870E-03     -0.53793796
   126   12 Mg  -0.92457379E-03     -0.58017881
   127   12 Mg  -0.92457544E-03     -0.58017985
   128   12 Mg  -0.92457389E-03     -0.58017888
   129   12 Mg  -0.87581069E-03     -0.54957950
   130   12 Mg  -0.87581063E-03     -0.54957947
   131   12 Mg  -0.87581531E-03     -0.54958240
   132   12 Mg  -0.87581434E-03     -0.54958179
   133   12 Mg  -0.87581231E-03     -0.54958052
   134   12 Mg  -0.87581636E-03     -0.54958307
   135   12 Mg  -0.87279114E-03     -0.54768471
   136   12 Mg  -0.87279403E-03     -0.54768652
   137   12 Mg  -0.87279428E-03     -0.54768668
   138   12 Mg  -0.87744091E-03     -0.55060248
   139   12 Mg  -0.87744305E-03     -0.55060383
   140   12 Mg  -0.87744433E-03     -0.55060463
   141   12 Mg  -0.85301667E-03     -0.53527604
   142   12 Mg  -0.85301601E-03     -0.53527563
   143   12 Mg  -0.85301575E-03     -0.53527547
   144   12 Mg  -0.85301476E-03     -0.53527484
   145   12 Mg  -0.85301662E-03     -0.53527601
   146   12 Mg  -0.85301570E-03     -0.53527543
   147   12 Mg  -0.85333909E-03     -0.53547836
   148   12 Mg  -0.84925026E-03     -0.53291259
   149   12 Mg  -0.84925467E-03     -0.53291535
   150   12 Mg  -0.84925124E-03     -0.53291320
--------------------------------------------------

Dispersion energy:      -1.3192274888018E-01 Eh

[Info] Dispersion energy written to .EDISP
