Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,Result
Dy,162.5,229,1.22,5.939,0,163,0.021671096,0.021671096,6,2,0.021671096,21.67109583
C,12.011,170,2.55,11.26,1.263,11.3,0.000723768,0.000723768,7,120,0.000723768,0.723768212
Mg,24.305,173,1.31,7.646,0,71.2,0.003511203,0.003511203,2,2,0.003511203,3.511203079
Mg,24.305,173,1.31,7.646,0,71.2,0.012671206,0.012671206,1,7,0.012671206,12.6712057
Ag,107.868,172,1.93,7.576,1.302,55,0.01407717,0.01407717,3,1,0.01407717,14.0771701
Cu,63.55,140,1.9,7.726,1.228,46.5,0.014197537,0.014197537,1,3,0.014197537,14.19753664
Dy,162.5,229,1.22,5.939,0,163,0.030166733,0.030166733,2,6,0.030166733,30.16673264
B,10.81,192,2.04,8.298,0.277,20.5,0.008702294,0.008702294,5,4,0.008702294,8.702294258
Zn,65.4,139,1.65,9.394,0,38.67,0.01251045,0.01251045,2,2,0.01251045,12.5104498
Rh,102.9055,195,2.28,7.459,1.137,66,0.016739054,0.016739054,1,3,0.016739054,16.73905377
S,32.07,180,2.58,10.36,2.077,19.4,0.009078918,0.009078918,22,11,0.009078918,9.078917698
Sm,150.4,229,1.17,5.644,0,192,0.031765016,0.031765016,1,3,0.031765016,31.76501598
Mg,24.305,173,1.31,7.646,0,71.2,0.01665734,0.01665734,3,3,0.01665734,16.65733985
P,30.973762,180,2.19,10.487,0.746,25,0.008016642,0.008016642,8,8,0.008016642,8.016642498
Ge,72.63,211,2.01,7.9,1.35,40,0.000920931,0.000920931,18,8,0.000920931,0.920930568
Mg,24.305,173,1.31,7.646,0,71.2,0.017965635,0.017965635,3,3,0.017965635,17.96563473
Mg,24.305,173,1.31,7.646,0,71.2,0.016204121,0.016204121,4,2,0.016204121,16.20412098
Tc,96.90636,209,1.9,7.28,0.55,79,0.002027648,0.002027648,3,1,0.002027648,2.027647759
Sc,44.95591,211,1.36,6.561,0.188,97,0.018906355,0.018906355,6,2,0.018906355,18.90635456
Mg,24.305,173,1.31,7.646,0,71.2,0.016363192,0.016363192,3,3,0.016363192,16.36319187
Pb,207,202,2.33,7.417,0.36,57,0.001541652,0.001541652,1,3,0.001541652,1.541651533
Mg,24.305,173,1.31,7.646,0,71.2,0.01592023,0.01592023,3,3,0.01592023,15.92023024
Mg,24.305,173,1.31,7.646,0,71.2,0.014309698,0.014309698,1,1,0.014309698,14.30969815
Au,196.96657,166,2.54,9.226,2.309,36.06,0.006208974,0.006208974,1,3,0.006208974,6.208974262
S,32.07,180,2.58,10.36,2.077,19.4,0.011492869,0.011492869,8,4,0.011492869,11.49286893
B,10.81,192,2.04,8.298,0.277,20.5,0.005296673,0.005296673,1,11,0.005296673,5.29667257
Be,9.012183,153,1.57,9.323,0,37.74,0.010627774,0.010627774,2,2,0.010627774,10.62777362
C,12.011,170,2.55,11.26,1.263,11.3,0.000625292,0.000625292,1,6,0.000625292,0.625291799
Mg,24.305,173,1.31,7.646,0,71.2,0.016020351,0.016020351,2,4,0.016020351,16.02035099
Si,28.085,210,1.9,8.152,1.385,37.3,0.012034944,0.012034944,26,8,0.012034944,12.03494366
Au,196.96657,166,2.54,9.226,2.309,36.06,0.014250476,0.014250476,30,8,0.014250476,14.25047624
Mg,24.305,173,1.31,7.646,0,71.2,0.015960377,0.015960377,1,1,0.015960377,15.96037716
Hg,200.59,209,2,10.438,0,33,0.004330782,0.004330782,2,6,0.004330782,4.33078192
Mg,24.305,173,1.31,7.646,0,71.2,0.015393274,0.015393274,4,2,0.015393274,15.39327441
O,15.999,152,3.44,13.618,1.461,5.3,0.008374928,0.008374928,68,34,0.008374928,8.374927602
Tm,168.93422,227,1.25,6.184,0,144,0.018345222,0.018345222,6,2,0.018345222,18.34522245
O,15.999,152,3.44,13.618,1.461,5.3,0.000943189,0.000943189,1,1,0.000943189,0.943189408
Ge,72.63,211,2.01,7.9,1.35,40,0.013903842,0.013903842,30,8,0.013903842,13.90384209
Zn,65.4,139,1.65,9.394,0,38.67,0.01696786,0.01696786,6,2,0.01696786,16.96786028
Pb,207,202,2.33,7.417,0.36,57,0.004986588,0.004986588,1,3,0.004986588,4.986587856
Mo,95.95,209,2.16,7.092,0.746,87,0.001369367,0.001369367,3,1,0.001369367,1.369366762
Li,7,182,0.98,5.392,0.618,164.1125,0.018816124,0.018816124,88,88,0.018816124,18.81612443
Sm,150.4,229,1.17,5.644,0,192,0.017350697,0.017350697,6,2,0.017350697,17.3506973
Al,26.981538,184,1.61,5.986,0.441,57.8,0.010511436,0.010511436,1,3,0.010511436,10.51143593
Mg,24.305,173,1.31,7.646,0,71.2,0.014398085,0.014398085,2,4,0.014398085,14.39808479
Mg,24.305,173,1.31,7.646,0,71.2,0.018210532,0.018210532,4,2,0.018210532,18.2105324
Ga,69.723,187,1.81,5.999,0.3,50,0.011355287,0.011355287,4,8,0.011355287,11.35528705
Cd,112.41,158,1.69,8.994,0,46,0.008541697,0.008541697,2,6,0.008541697,8.541696518
Pt,195.08,209,2.28,9,2.128,48,0.009840966,0.009840966,1,1,0.009840966,9.840965767
Sb,121.76,206,2.05,8.64,1.07,43,0.009598265,0.009598265,12,6,0.009598265,9.598265034
Al,26.981538,184,1.61,5.986,0.441,57.8,0.016756457,0.016756457,4,2,0.016756457,16.75645732
B,10.81,192,2.04,8.298,0.277,20.5,0.010850143,0.010850143,2,2,0.010850143,10.85014254
As,74.92159,185,2.18,9.815,0.81,30,0.011737965,0.011737965,27,10,0.011737965,11.73796531
Te,127.6,206,2.1,9.01,1.971,38,0.003666384,0.003666384,12,36,0.003666384,3.666383575
Pu,244.0642,243,1.28,6.06,0,145,0.01702389,0.01702389,3,1,0.01702389,17.02388971
Li,7,182,0.98,5.392,0.618,164.1125,0.018422753,0.018422753,6,6,0.018422753,18.42275305
Lu,174.9667,221,1.27,5.426,0,137,0.017314652,0.017314652,6,2,0.017314652,17.31465157
Li,7,182,0.98,5.392,0.618,164.1125,0.001797772,0.001797772,1,1,0.001797772,1.797771892
Pm,144.91276,236,0,5.55,0,200,0.025436807,0.025436807,3,1,0.025436807,25.43680674
Mg,24.305,173,1.31,7.646,0,71.2,0.018123144,0.018123144,5,1,0.018123144,18.12314384
Ag,107.868,172,1.93,7.576,1.302,55,0.01122542,0.01122542,2,2,0.01122542,11.22541955
Sn,118.71,217,1.96,7.344,1.2,53,0.012759771,0.012759771,85,20,0.012759771,12.75977133
As,74.92159,185,2.18,9.815,0.81,30,0.011587267,0.011587267,6,2,0.011587267,11.58726731
B,10.81,192,2.04,8.298,0.277,20.5,0.001000837,0.001000837,3,1,0.001000837,1.000837333
Zn,65.4,139,1.65,9.394,0,38.67,0.003970924,0.003970924,2,26,0.003970924,3.970923825
Be,9.012183,153,1.57,9.323,0,37.74,0.016525939,0.016525939,3,1,0.016525939,16.52593911
Mg,24.305,173,1.31,7.646,0,71.2,0.018406,0.018406,5,1,0.018406,18.40600007
Sn,118.71,217,1.96,7.344,1.2,53,0.002214985,0.002214985,4,10,0.002214985,2.214984862
O,15.999,152,3.44,13.618,1.461,5.3,0.01134346,0.01134346,8,4,0.01134346,11.34346041
Ga,69.723,187,1.81,5.999,0.3,50,0.011630238,0.011630238,2,6,0.011630238,11.63023842
Ir,192.22,202,2.2,9.1,1.565,54,0.013023588,0.013023588,1,1,0.013023588,13.02358837
Al,26.981538,184,1.61,5.986,0.441,57.8,0.016997657,0.016997657,9,4,0.016997657,16.99765731
Pt,195.08,209,2.28,9,2.128,48,0.007520572,0.007520572,1,3,0.007520572,7.520572069
Mg,24.305,173,1.31,7.646,0,71.2,0.014511333,0.014511333,1,3,0.014511333,14.51133272
