Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion
Np,237.048172,221.0,1.36,6.266,0.0,160.0,0.0155096528713628,0.0155096528713628,6.0,2.0,0.0155096528713628
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.0063205285809097,0.0063205285809097,1.0,3.0,0.0063205285809097
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.0116162811181401,0.0116162811181401,3.0,1.0,0.0116162811181401
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0057023351875902,0.0057023351875902,1.0,1.0,0.0057023351875902
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0013705230561809,0.0013705230561809,5.0,4.0,0.0013705230561809
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.01172174258339,0.01172174258339,18.0,8.0,0.01172174258339
Cu,63.55,140.0,1.9,7.726,1.228,46.5,0.0142220404026361,0.0142220404026361,1.0,3.0,0.0142220404026361
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0176281431677774,0.0176281431677774,3.0,1.0,0.0176281431677774
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0138476896159755,0.0138476896159755,30.0,8.0,0.0138476896159755
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0013341615897781,0.0013341615897781,6.0,6.0,0.0013341615897781
Nd,144.24,229.0,1.14,5.525,0.0,208.0,0.0249878008551939,0.0249878008551939,3.0,1.0,0.0249878008551939
Cl,35.45,175.0,3.16,12.968,3.617,14.6,0.0047003998780978,0.0047003998780978,2.0,2.0,0.0047003998780978
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0073892418395938,0.0073892418395938,8.0,8.0,0.0073892418395938
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0009550355455569,0.0009550355455569,13.0,5.0,0.0009550355455569
Sm,150.4,229.0,1.17,5.644,0.0,192.0,0.0254556741044827,0.0254556741044827,3.0,1.0,0.0254556741044827
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.0081287676921566,0.0081287676921566,1.0,1.0,0.0081287676921566
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0010494729074944,0.0010494729074944,2.0,4.0,0.0010494729074944
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0005925353163902,0.0005925353163902,42.0,18.0,0.0005925353163902
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.0124261906383811,0.0124261906383811,6.0,2.0,0.0124261906383811
Re,186.207,217.0,1.9,7.88,0.15,62.0,0.0011665245281704,0.0011665245281704,6.0,2.0,0.0011665245281704
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0050634059652464,0.0050634059652464,1.0,11.0,0.0050634059652464
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.0209983942908022,0.0209983942908022,6.0,2.0,0.0209983942908022
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.0167556747183417,0.0167556747183417,30.0,8.0,0.0167556747183417
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0117373675452422,0.0117373675452422,18.0,6.0,0.0117373675452422
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0165731276275007,0.0165731276275007,4.0,2.0,0.0165731276275007
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.0030329521404426,0.0030329521404426,2.0,6.0,0.0030329521404426
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0007037704805741,0.0007037704805741,1.0,12.0,0.0007037704805741
Cd,112.41,158.0,1.69,8.994,0.0,46.0,0.0154175676529944,0.0154175676529944,3.0,1.0,0.0154175676529944
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0161315348300808,0.0161315348300808,2.0,4.0,0.0161315348300808
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0173085605286955,0.0173085605286955,3.0,1.0,0.0173085605286955
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.0253586023944098,0.0253586023944098,1.0,3.0,0.0253586023944098
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0128529293735739,0.0128529293735739,1.0,5.0,0.0128529293735739
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0090123157879951,0.0090123157879951,22.0,11.0,0.0090123157879951
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0165113731113893,0.0165113731113893,4.0,2.0,0.0165113731113893
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.0170284719398056,0.0170284719398056,5.0,2.0,0.0170284719398056
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0108511996191861,0.0108511996191861,6.0,14.0,0.0108511996191861
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0165757457909262,0.0165757457909262,2.0,4.0,0.0165757457909262
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0004379929074438,0.0004379929074438,2.0,8.0,0.0004379929074438
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0179259012964299,0.0179259012964299,6.0,2.0,0.0179259012964299
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,0.007770909813516,0.007770909813516,1.0,1.0,0.007770909813516
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.0120964997244287,0.0120964997244287,4.0,4.0,0.0120964997244287
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.001756114715947,0.001756114715947,4.0,20.0,0.001756114715947
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.0118178152059046,0.0118178152059046,16.0,10.0,0.0118178152059046
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0171010414092954,0.0171010414092954,4.0,2.0,0.0171010414092954
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0007706108932475,0.0007706108932475,1.0,8.0,0.0007706108932475
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.001925716226521,0.001925716226521,1.0,1.0,0.001925716226521
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0024390498594214,0.0024390498594214,1.0,3.0,0.0024390498594214
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0036465791879533,0.0036465791879533,3.0,2.0,0.0036465791879533
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.0036729358522451,0.0036729358522451,12.0,36.0,0.0036729358522451
Zn,65.4,139.0,1.65,9.394,0.0,38.67,0.0088159181726746,0.0088159181726746,1.0,3.0,0.0088159181726746
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0173287387577406,0.0173287387577406,3.0,1.0,0.0173287387577406
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0172569768140206,0.0172569768140206,3.0,3.0,0.0172569768140206
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0163584797169193,0.0163584797169193,4.0,2.0,0.0163584797169193
In,114.818,193.0,1.78,5.786,0.3,65.0,0.0176636457886082,0.0176636457886082,3.0,1.0,0.0176636457886082
Cr,51.996,189.0,1.66,6.767,0.666,83.0,0.0015033062535905,0.0015033062535905,6.0,2.0,0.0015033062535905
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.001558669472609,0.001558669472609,3.0,3.0,0.001558669472609
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.0121276035271274,0.0121276035271274,8.0,3.0,0.0121276035271274
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0148816654606888,0.0148816654606888,3.0,5.0,0.0148816654606888
