Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result
Pu,244.0642,243.0,1.28,6.06,,145.0,0.017418841317845588,0.02322512175712745,3.0,1.0,0.06967536527138235,0.0007534947653602336,7.534947653602336
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.011995885978621938,0.015994514638162583,6.0,2.0,0.04798354391448775,0.0008247810010583106,8.247810010583105
Re,186.207,217.0,1.9,7.88,0.15,62.0,0.0011665245281704375,0.0015553660375605832,6.0,2.0,0.00466609811268175,8.135267700988353e-05,0.8135267700988352
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.00086890048942425,0.001158533985899,3.0,1.0,0.003475601957697,6.557445228100951e-05,0.6557445228100951
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.0008938504019247503,0.0011918005358996671,6.0,2.0,0.003575401607699001,6.638948557382256e-05,0.6638948557382256
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.011616281118140162,0.015488374824186883,3.0,1.0,0.04646512447256065,0.0006629389521296275,6.629389521296275
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.011596458573771975,0.0154619447650293,6.0,2.0,0.0463858342950879,0.0005909850361902632,5.909850361902632
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,0.018906354558452937,0.025208472744603916,6.0,2.0,0.07562541823381175,0.0009118142893039223,9.118142893039224
Sm,150.4,229.0,1.17,5.644,,192.0,0.017350697299099063,0.023134263065465416,6.0,2.0,0.06940278919639625,0.0007084438945281582,7.0844389452815815
Sm,150.4,229.0,1.17,5.644,,192.0,0.025455674104482774,0.03394089880597703,3.0,1.0,0.1018226964179311,0.001064111287172761,10.64111287172761
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0008687498540594996,0.0011583331387459994,3.0,1.0,0.0034749994162379984,4.9606180930965454e-05,0.49606180930965454
Tb,158.92535,221.0,,5.864,,170.0,0.00387768691868,0.005170249224906667,6.0,2.0,0.01551074767472,0.00016405925865423367,1.6405925865423368
Tc,96.90636,209.0,1.9,7.28,0.55,79.0,0.0020276477589628505,0.0027035303452838007,3.0,1.0,0.008110591035851402,0.0001358123340336223,1.358123340336223
Tc,96.90636,209.0,1.9,7.28,0.55,79.0,0.0017260922421710751,0.002301456322894767,3.0,1.0,0.0069043689686843004,0.00011812873508081924,1.1812873508081925
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.013586722332615677,0.018115629776820904,6.0,2.0,0.05434688933046271,0.0007087114981945729,7.08711498194573
Th,232.038,237.0,1.3,6.08,,240.0,0.015954078039960736,0.02127210405328098,3.0,1.0,0.06381631215984294,0.0006985605334488109,6.98560533448811
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.017791499834733278,0.02372199977964437,3.0,1.0,0.07116599933893311,0.0009830358365571878,9.830358365571879
Tm,168.93422,227.0,1.25,6.184,,144.0,0.018345222454228066,0.02446029660563742,6.0,2.0,0.07338088981691226,0.0008060453915328247,8.060453915328248
W,183.84,210.0,2.36,7.98,0.815,68.0,0.0010243872357269994,0.0013658496476359992,6.0,2.0,0.004097548942907998,7.11192655927002e-05,0.711192655927002
W,183.84,210.0,2.36,7.98,0.815,68.0,0.0012991164661379875,0.0017321552881839834,3.0,1.0,0.00519646586455195,8.113908903227736e-05,0.8113908903227736
Yb,173.05,242.0,,6.254,,139.0,0.023616784982147178,0.0314890466428629,3.0,1.0,0.09446713992858871,0.0010584427083372716,10.584427083372717
Yb,173.05,242.0,,6.254,,139.0,0.022557767083663874,0.0300770227782185,6.0,2.0,0.0902310683346555,0.0009986829771490686,9.986829771490685
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.02099839429080225,0.027997859054403,6.0,2.0,0.083993577163209,0.0009005830936223113,9.005830936223113
Zn,65.4,139.0,1.65,9.394,,38.67,0.016967860276092876,0.022623813701457166,6.0,2.0,0.0678714411043715,0.001047290326627956,10.47290326627956
Zn,65.4,139.0,1.65,9.394,,38.67,0.015169746945132886,0.020226329260177183,3.0,1.0,0.060678987780531546,0.0009507488920881042,9.507488920881041
Zn,65.4,139.0,1.65,9.394,,38.67,0.015143065068072687,0.020190753424096916,3.0,1.0,0.06057226027229075,0.0009480724170908256,9.480724170908257
Zr,91.22,186.0,1.33,6.634,0.426,112.0,0.0232742304299791,0.031032307239972134,3.0,1.0,0.0930969217199164,0.0012427594995679274,12.427594995679273
Mg,24.305,173.0,1.31,7.646,,71.2,0.016443794193198767,0.02055474274149846,4.0,1.0,0.08221897096599384,0.0007906529358427275,7.906529358427275
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.00988730156166715,0.012359126952083938,8.0,2.0,0.04943650780833575,0.00045157663628200465,4.515766362820046
B,10.81,192.0,2.04,8.298,0.277,20.5,0.00870229425813089,0.015664129664635602,5.0,4.0,0.0195801620807945,0.0007210204243248437,7.210204243248437
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0013705230561809997,0.0024669415011257995,5.0,4.0,0.0030836768764072493,0.00014238758239319617,1.4238758239319618
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.003947385620363667,0.007105294116654601,5.0,4.0,0.008881617645818251,0.0002681698270099424,2.681698270099424
In,114.818,193.0,1.78,5.786,0.3,65.0,0.01379503811642411,0.0248310686095634,5.0,4.0,0.03103883576195425,0.0007196061499948797,7.196061499948797
Mg,24.305,173.0,1.31,7.646,,71.2,0.016845889115238533,0.02021506693828624,5.0,1.0,0.1010753346914312,0.0008122926130055696,8.122926130055696
Mg,24.305,173.0,1.31,7.646,,71.2,0.018123143843014625,0.02174777261161755,5.0,1.0,0.10873886305808775,0.0008932785824824295,8.932785824824295
Mg,24.305,173.0,1.31,7.646,,71.2,0.017738661551978264,0.021286393862373916,5.0,1.0,0.10643196931186959,0.0008687523943557109,8.687523943557109
Mg,24.305,173.0,1.31,7.646,,71.2,0.017734776118430762,0.021281731342116913,5.0,1.0,0.10640865671058457,0.0008686539165970917,8.686539165970917
Mg,24.305,173.0,1.31,7.646,,71.2,0.018406000074115494,0.02208720008893859,5.0,1.0,0.11043600044469296,0.0009156062230882484,9.156062230882483
